sample,field,date,sampling.period,tillage,irrigation,fertilizer,crop_rotation,residue,cover_crop,clay,gwc,protozoa,BactSum,FungSum,FBRatio,GPosSum,GNegSum,ActSum,SapSum,AMF,total.fame,P,K,Mg,Ca,pH,CEC,S,B,Zn,Mn,Fe,Cu,OM,no3.ppm,nh4.ppm,total.N,original.field,year
TG 34,TG-3-18,6/4/18,18-Jun,no,yes,yes,yes,medium-high,yes,30.7,23.46437346,2.481,33.959,34.599,1.019,16.63,5.035,12.294,31.229,3.37,130.0942322,117,1711,2432,6013,8,28.95,59,8.86,7.87,374,82,5.09,1.07,17.4,1.49,18.89,3,2018
TG 35,TG-3-18,6/4/18,18-Jun,no,yes,yes,yes,medium-high,yes,30.7,31.3559322,2.278,46.299,44.91,0.97,23.592,6.77,15.937,39.303,5.607,165.4899376,92,1964,2391,5174,8.4,27.41,50,9.46,6.13,379,97,5.19,1.42,14.01,1.41,15.42,3,2018
TG 36,TG-3-18,6/4/18,18-Jun,no,yes,yes,yes,medium-high,yes,30.7,26.51162791,2.734,50.031,56.016,1.12,25.911,7.783,16.337,46.042,9.974,192.0959146,48,1557,2235,4923,8.2,25.21,35,6.48,4.2,378,78,4.87,1.36,15.33,1.51,16.84,3,2018
RN 49,RN-1-18,6/4/18,18-Jun,no,yes,yes,yes,medium-high,yes,24.8,20.5510907,3.304,72.72,99.662,1.37,43.137,9.403,20.18,88.019,11.643,312.776247,105,2327,1535,4353,7.8,21.86,166,5.61,6.84,346,68,4.47,1.08,127.08,2.52,129.6,1,2018
RN 50,RN-1-18,6/4/18,18-Jun,no,yes,yes,yes,medium-high,yes,24.8,20.37861915,4.232,47.211,61.93,1.312,26.354,6.114,14.743,49.474,12.456,199.1447272,49,1547,1621,4090,8.1,20.56,51,4.52,10.96,406,75,4.68,1.04,20.98,1.56,22.54,1,2018
RN 51,RN-1-18,6/4/18,18-Jun,no,yes,yes,yes,medium-high,yes,24.8,21.0989011,2.715,54.974,63.596,1.157,30.135,7.609,17.23,53.546,10.05,217.0506246,58,1593,1530,4175,7.7,20.45,41,4.76,9.9,394,72,4.37,1.07,14.88,1.55,16.43,1,2018
RN 52,RN-1-18,6/4/18,18-Jun,no,yes,yes,yes,medium-high,yes,24.8,20.37470726,4.028,60.547,79.28,1.309,33.92,8.18,18.447,69.374,9.906,290.7669692,39,1705,1549,4202,7.5,20.34,68,4.67,9.33,390,72,4.61,1.05,39.05,1.32,40.37,1,2018
RN 53,RN-2-18,6/4/18,18-Jun,minimal,yes,yes,no,none-low,yes,27.2,11.70323929,0.654,37.924,40.957,1.08,19.584,5.565,12.775,36.731,4.226,158.543339,167,1113,1717,4472,7.8,21.76,86,6.17,3.15,341,92,5.02,0.8,19.69,1.72,21.41,2,2018
RN 54,RN-2-18,6/4/18,18-Jun,minimal,yes,yes,no,none-low,yes,27.2,13.18681319,0,24.397,22.303,0.914,12.14,3.71,8.547,19.204,3.099,92.12546354,119,1030,1892,4807,7.8,23.22,69,6.25,3.03,330,97,5.36,0.95,15.1,2.06,17.16,2,2018
RN 55,RN-2-18,6/4/18,18-Jun,minimal,yes,yes,no,none-low,yes,27.2,8.790170132,1.024,26.043,31.464,1.208,14.2,3.388,8.455,28.371,3.093,111.8238978,176,1128,1633,4062,7.7,20.4,71,5.05,3.37,319,94,4.54,0.8,7.77,4.77,12.54,2,2018
RN 56,RN-2-18,6/4/18,18-Jun,minimal,yes,yes,no,none-low,yes,27.2,10.63829787,1.707,30.112,35.898,1.192,15.927,4.404,9.781,32.016,3.882,121.6098835,128,1107,1690,4525,7.9,21.37,53,5.28,2.78,328,90,4.74,0.94,8.16,2.56,10.72,2,2018
RN 57,RN-3-18,6/4/18,18-Jun,no,yes,yes,yes,medium-high,yes,30.8,25.33333333,4.023,99.974,99.296,0.993,54.054,13.55,32.37,87.713,11.583,386.9468645,189,1482,2203,5383,8,26.53,45,6.07,16.28,316,77,4.44,1.96,18.28,2.97,21.25,3,2018
RN 58,RN-3-18,6/4/18,18-Jun,no,yes,yes,yes,medium-high,yes,30.8,21.77985948,4.704,45.895,39.257,0.855,22.532,6.803,16.56,32.815,6.442,155.3218694,47,1473,2082,4669,7.8,24.23,32,4.55,6.28,345,83,4.9,1.34,13.45,3.84,17.29,3,2018
RN 59,RN-3-18,6/4/18,18-Jun,no,yes,yes,yes,medium-high,yes,30.8,24.5017585,2.694,68.146,63.537,0.932,35.33,9.54,23.276,54.284,9.253,260.728598,165,1515,2158,5731,8.2,26.86,34,5.82,13.33,319,76,4.71,1.81,14.91,4.39,19.3,3,2018
RN 60,RN-3-18,6/4/18,18-Jun,no,yes,yes,yes,medium-high,yes,30.8,21.8404908,3.671,72.012,77.942,1.082,36.484,10.102,25.426,63.153,14.789,279.7797453,102,1504,2025,4837,8.2,24.05,36,5.71,9.87,304,89,4.38,1.56,10.64,1.41,12.05,3,2018
JB 1,JB-1-18,6/5/18,18-Jun,no,yes,yes,yes,medium-high,no,11,4.304304304,2.203,35.804,41.781,1.167,20.868,4.689,10.247,36.742,5.039,146.3996221,162,776,1302,2101,8,12.87,63,3.16,5.85,111,78,1.78,0.69,0.49,1.07,1.56,1,2018
JB 2,JB-1-18,6/5/18,18-Jun,no,yes,yes,yes,medium-high,no,11,13.03890641,3.052,47.489,47.628,1.003,26.019,6.729,14.741,41.006,6.622,195.7925896,94,741,1411,1990,8.5,12.2,38,3.61,5.74,101,72,1.64,0.73,1.37,1.06,2.43,1,2018
JB 3,JB-1-18,6/5/18,18-Jun,no,yes,yes,yes,medium-high,no,11,11.34969325,0.86,28.052,31.297,1.116,15.553,3.735,8.764,27.821,3.476,106.7269028,109,828,1347,1902,8.2,12.22,57,3.34,3.38,124,78,2.07,0.47,1.31,0.95,2.26,1,2018
JB 4,JB-1-18,6/5/18,18-Jun,no,yes,yes,yes,medium-high,no,11,13.6315229,1.578,29.282,33.785,1.154,15.231,4.572,9.479,28.405,5.38,113.944712,114,822,1534,2070,8.4,13.42,43,4.03,6.27,122,76,1.92,0.65,1.53,0.99,2.52,1,2018
JB 5,JB-2-18,6/5/18,18-Jun,no,no,no,no,none-low,yes,9,5.631067961,0.935,11.595,13.027,1.124,6.077,1.728,3.79,11.978,1.049,47.48659953,88,500,392,2182,7,9.32,14,1.03,1.01,114,89,1.78,0.4,1.33,0.95,2.28,2,2018
JB 6,JB-2-18,6/5/18,18-Jun,no,no,no,no,none-low,yes,9,7.505285412,0.254,11.397,7.088,0.622,5.907,1.858,3.632,6.37,0.718,39.06588752,25,430,385,1974,6.3,8.69,18,0.77,0.73,108,87,1.8,0.38,1.05,1.14,2.19,2,2018
JB 7,JB-2-18,6/5/18,18-Jun,no,no,no,no,none-low,yes,9,5.656934307,0.494,10.274,13.76,1.339,5.522,1.369,3.383,12.711,1.049,46.05877817,51,520,389,2167,7.1,8.9,19,1,0.94,112,91,1.73,0.29,1.55,1.17,2.72,2,2018
JB 8,JB-2-18,6/5/18,18-Jun,no,no,no,no,none-low,yes,9,6.742640076,0.44,8.624,10.087,1.17,4.277,1.196,3.151,8.523,1.564,34.10851034,30,526,429,2329,7.4,9.48,16,0.97,0.75,118,77,1.92,0.2,1.09,0.8,1.89,2,2018
JB 9,JB-3-18,6/5/18,18-Jun,minimal,yes,yes,yes,medium-high,no,10.6,8.911917098,0.776,35.581,32.565,0.915,19.571,4.648,11.362,28.762,3.803,121.0239602,89,802,1676,2021,8,14.26,94,4.27,2.67,122,70,2.25,0.58,14.02,0.93,14.95,3,2018
JB 10,JB-3-18,6/5/18,18-Jun,minimal,yes,yes,yes,medium-high,no,10.6,8.99315738,1.602,59.766,78.33,1.311,34.978,7.639,17.149,69.687,8.643,253.3640926,111,921,1603,2192,8.1,14.13,43,4.38,2.62,119,66,2.17,0.65,16.36,1.19,17.55,3,2018
JB 11,JB-3-18,6/5/18,18-Jun,minimal,yes,yes,yes,medium-high,no,10.6,8.536585366,2.481,35.718,32.9,0.921,19.029,5.458,11.231,28.949,3.951,129.0862896,102,739,1516,1825,8,13.02,74,3.43,2.83,121,69,2.12,0.5,12.72,0.86,13.58,3,2018
JB 12,JB-3-18,6/5/18,18-Jun,minimal,yes,yes,yes,medium-high,no,10.6,7.874865156,1.086,50.849,49.159,0.967,29.112,6.891,14.846,43.106,6.053,188.5948297,109,819,1375,1850,7.9,12.6,72,3.37,2.72,127,70,2.01,0.61,8.29,1,9.29,3,2018
MH 61,MH-1-18,6/5/18,18-Jun,minimal,no,yes,no,none-low,yes,21.2,10.3965702,0.844,30.668,41.758,1.362,17.286,4.275,9.107,38.727,3.031,129.9524226,156,1084,693,3232,7.5,13.95,13,1.31,2.14,211,96,2.95,0.57,4.5,1.07,5.57,1,2018
MH 62,MH-1-18,6/5/18,18-Jun,minimal,no,yes,no,none-low,yes,21.2,5.646036916,1.214,33.765,49.778,1.474,19.159,4.709,9.897,46.649,3.129,148.2458732,158,1123,698,3178,7.5,13.89,17,1.37,2.23,207,90,2.92,0.6,6.25,0.91,7.16,1,2018
MH 63,MH-1-18,6/5/18,18-Jun,minimal,no,yes,no,none-low,yes,21.2,7.1875,1.137,28.903,39.293,1.359,15.53,4.17,9.203,36.339,2.954,122.5516678,151,1074,764,3339,7.5,14.5,19,1.43,4.92,202,93,2.97,0.57,1.05,1.44,2.49,1,2018
MH 64,MH-1-18,6/5/18,18-Jun,minimal,no,yes,no,none-low,yes,21.2,7.995735608,0.961,19.049,21.467,1.127,9.995,2.761,6.293,19.624,1.843,74.87540475,121,932,665,2760,7.7,12.46,22,1.29,1.72,181,90,2.63,0.53,3.91,0.86,4.77,1,2018
MH 65,MH-2-18,6/5/18,18-Jun,minimal,no,yes,no,none-low,yes,13,7.385811467,0.925,32.171,31.026,0.964,18.789,4.286,9.096,27.708,3.318,122.2638267,72,836,404,2009,7.3,8.97,17,1.03,2.21,105,88,1.99,0.41,6.79,0.84,7.63,2,2018
MH 66,MH-2-18,6/5/18,18-Jun,minimal,no,yes,no,none-low,yes,13,7.371794872,1.193,36.539,35.994,0.985,20.259,4.69,11.59,32.614,3.38,138.7938369,93,939,479,2061,7.1,9.55,21,1.17,2.6,112,93,2.13,0.44,14.01,0.78,14.79,2,2018
MH 67,MH-2-18,6/5/18,18-Jun,minimal,no,yes,no,none-low,yes,13,7.966260544,1.134,47.736,50.385,1.055,28.068,6.446,13.222,44.281,6.104,187.8945933,113,981,535,2590,7.5,11.56,21,1.5,2.88,123,97,2.1,0.55,14.12,0.78,14.9,2,2018
MH 68,MH-2-18,6/5/18,18-Jun,minimal,no,yes,no,none-low,yes,13,6.873184898,2.187,31.015,35.611,1.148,17.233,4.601,9.181,32.335,3.276,125.3283859,101,1013,521,2704,7.4,11.42,20,1.31,2.55,128,88,2.15,0.48,7.64,0.79,8.43,2,2018
MH 69,MH-3-18,6/5/18,18-Jun,minimal,no,yes,no,none-low,yes,10.8,10.52060738,0.824,25.355,24.299,0.958,13.877,2.758,8.72,20.58,3.719,91.13219973,31,905,380,2275,7.2,9.63,15,0.76,1.8,158,96,2.26,0.43,1.81,0.76,2.57,3,2018
MH 70,MH-3-18,6/5/18,18-Jun,minimal,no,yes,no,none-low,yes,10.8,8.99122807,0.99,28.555,26.361,0.923,15.301,3.569,9.685,22.556,3.805,101.8650336,35,931,400,2195,7.5,9.54,13,0.93,1.6,156,96,2.16,0.57,2.69,0.88,3.57,3,2018
MH 71,MH-3-18,6/5/18,18-Jun,minimal,no,yes,no,none-low,yes,10.8,6.092843327,0.502,24.623,20.693,0.84,12.899,3.293,8.431,18.295,2.398,77.92685191,38,880,358,2025,7.2,9.28,16,0.85,1.5,144,99,2.06,0.45,6.26,0.79,7.05,3,2018
MH 72,MH-3-18,6/5/18,18-Jun,minimal,no,yes,no,none-low,yes,10.8,4.166666667,0.573,19.071,20.564,1.078,10.663,2.386,6.022,17.568,2.996,71.82725484,95,764,333,1815,7.8,7.7,16,0.94,1.79,115,93,1.79,0.26,7.72,1.97,9.69,3,2018
CK 85,CK-1-18,6/6/18,18-Jun,no,yes,no,yes,medium-high,no,36.8,17.84037559,3.509,108.184,122.731,1.134,63.805,13.774,30.605,112.089,10.642,428.709642,292,1427,2059,5410,7.7,25.93,29,3.73,19.14,316,84,5.39,1.96,12.98,2.22,15.2,1,2018
CK 86,CK-1-18,6/6/18,18-Jun,no,yes,no,yes,medium-high,no,36.8,1.689860835,5.221,63.342,67.838,1.071,34.576,8.618,20.148,60.714,7.124,255.2684113,75,1033,1909,5240,7.7,23.97,28,3.09,7.39,303,81,5.3,1.47,8.76,2.94,11.7,1,2018
CK 87,CK-1-18,6/6/18,18-Jun,no,yes,no,yes,medium-high,no,36.8,23.92776524,4.252,74.377,80.612,1.084,42.436,10.046,21.895,73.428,7.184,290.9614958,240,1453,2003,5313,7.8,25.89,34,3.79,16.33,315,84,5.46,2.21,12.28,2.92,15.2,1,2018
CK 88,CK-1-18,6/6/18,18-Jun,no,yes,no,yes,medium-high,no,36.8,22.56902761,4.731,92.982,87.449,0.94,53.826,11.76,27.396,79.915,7.534,347.6892485,102,1470,2303,5794,7.6,28.76,28,3.61,11.21,356,89,6,1.72,13.71,2.55,16.26,1,2018
CK 89,CK-2-18,6/6/18,18-Jun,no,yes,no,yes,medium-high,no,38,9.956709957,5.296,66.461,63.629,0.957,36.473,9.487,20.501,58.118,5.511,271.452426,231,1691,1744,5884,7.8,26.94,29,3.59,15.51,408,83,6.82,2.17,5.83,2.49,8.32,2,2018
CK 90,CK-2-18,6/6/18,18-Jun,no,yes,no,yes,medium-high,no,38,25.80645161,5.797,105.828,128.926,1.218,59.411,13.694,32.723,120.474,8.452,412.0609432,636,2106,2021,8735,8,34.55,43,4.22,35.88,347,102,7.13,2.92,16.64,1.67,18.31,2,2018
CK 91,CK-2-18,6/6/18,18-Jun,no,yes,no,yes,medium-high,no,38,22.31707317,6.932,90.9,96.124,1.057,50.475,12.07,28.355,88.232,7.892,381.4901819,281,1650,1769,5812,7.8,26.01,28,3.91,20.2,379,87,6.76,2.52,18.51,2.32,20.83,2,2018
CK 92,CK-2-18,6/6/18,18-Jun,no,yes,no,yes,medium-high,no,38,23.85620915,4.073,77.337,70.241,0.908,44.157,9.85,23.33,64.509,5.732,278.2416546,125,1222,1486,4753,7.2,22.04,28,2.25,9.07,401,87,5.53,1.74,5.81,1.59,7.4,2,2018
CK 93,CK-3-18,6/6/18,18-Jun,no,yes,no,yes,medium-high,no,33.6,14.01590457,3.414,79.742,73.8,0.925,44.374,8.389,26.979,67.062,6.738,291.7536954,169,1581,1674,4989,6.6,24.27,35,2.08,8.17,368,100,4.66,1.76,16.36,2.55,18.91,3,2018
CK 94,CK-3-18,6/6/18,18-Jun,no,yes,no,yes,medium-high,no,33.6,16.35514019,2.801,61.95,56.546,0.913,34.067,6.394,21.489,50.792,5.754,222.6086517,62,1267,1593,4381,7.2,21.21,31,2.07,6.05,352,100,4.4,1.53,113.91,2.28,116.19,3,2018
CK 95,CK-3-18,6/6/18,18-Jun,no,yes,no,yes,medium-high,no,33.6,10.17897092,2.27,81.11,89.269,1.101,45.918,8.68,26.512,78.888,10.381,304.3580898,40,1098,1627,4807,7,23,32,2.12,6.27,386,120,4.51,1.61,12.19,1.66,13.85,3,2018
CK 96,CK-3-18,6/6/18,18-Jun,no,yes,no,yes,medium-high,no,33.6,24.69586375,3.195,70.681,67.092,0.949,38.853,8.067,23.761,59.734,7.358,251.7932394,40,1124,1405,4918,7.1,21.99,27,2.18,5.5,406,76,4.73,1.69,20.1,2.16,22.26,3,2018
KK 73,KK-1-18,6/7/18,18-Jun,no,yes,no,yes,medium-high,yes,14.4,14.25339367,1.59,54.12,58.474,1.08,31.107,7.462,15.551,52.539,5.935,219.3545534,225,914,897,2398,7.4,12.1,19,1.97,24.35,121,93,1.92,1.01,40.12,1.95,42.07,1,2018
KK 74,KK-1-18,6/7/18,18-Jun,no,yes,no,yes,medium-high,yes,14.4,15.44532131,2.424,56.938,58.378,1.025,33.776,7.329,15.833,51.755,6.623,217.4609089,150,937,1020,2629,7.4,13.22,22,2.24,24.66,141,80,2.27,1.13,4.41,1.47,5.88,1,2018
KK 75,KK-1-18,6/7/18,18-Jun,no,yes,no,yes,medium-high,yes,14.4,23.375,5.072,87.687,116.91,1.333,51.313,11.122,25.252,105.532,11.378,389.6325411,197,927,1170,3163,7.2,15.57,27,2.68,31.11,133,91,2.95,1.65,4.21,1.42,5.63,1,2018
KK 76,KK-1-18,6/7/18,18-Jun,no,yes,no,yes,medium-high,yes,14.4,12.65822785,4.794,84.904,114.047,1.343,52.154,9.428,23.322,105.148,8.899,377.1326601,139,825,949,2518,7.3,12.9,22,2.48,30.93,133,88,2.32,1.01,9.8,1.93,11.73,1,2018
KK 77,KK-2-18,6/7/18,18-Jun,no,yes,yes,no,none-low,no,12.8,8.994197292,1.731,61.103,60.444,0.989,36.221,7.944,16.938,55.358,5.086,253.3812414,224,742,684,2100,6.1,11.05,33,1.18,25.72,151,125,2.54,0.84,8.13,1.39,9.52,2,2018
KK 78,KK-2-18,6/7/18,18-Jun,no,yes,yes,no,none-low,no,12.8,10.69574247,2.922,48.979,52.149,1.065,28.211,6.441,14.327,47.426,4.723,200.859431,173,1186,830,2306,7,12.34,29,1.93,26.02,146,89,2.53,1.12,25.72,1.46,27.18,2,2018
KK 79,KK-2-18,6/7/18,18-Jun,no,yes,yes,no,none-low,no,12.8,,2.524,42.279,42.178,0.998,24.408,5.842,12.029,37.833,4.345,162.3659191,163,1084,902,2585,7.1,13.21,31,2,21.67,151,79,3.03,1.13,28.39,1.18,29.57,2,2018
KK 80,KK-2-18,6/7/18,18-Jun,no,yes,yes,no,none-low,no,12.8,7.008368201,1.61,52.415,58.686,1.12,31.353,5.976,15.086,53.839,4.847,219.8821004,233,1041,764,2251,6.9,11.74,39,1.7,26.16,135,88,2.52,1.16,23.82,1.63,25.45,2,2018
KK 81,KK-3-18,6/7/18,18-Jun,no,yes,no,yes,medium-high,yes,15.2,10.21276596,2.585,40.44,48.05,1.188,24.032,4.997,11.411,43.029,5.021,170.2156222,169,1288,923,2898,8.1,13.94,20,2.2,18.3,226,86,2.81,0.83,34.27,1.65,35.92,3,2018
KK 82,KK-3-18,6/7/18,18-Jun,no,yes,no,yes,medium-high,yes,15.2,13.14102564,2.721,46.471,54.811,1.179,27.748,5.973,12.75,48.006,6.805,196.8749708,185,1080,943,3091,8.1,13.84,21,2.29,22.09,229,86,3.12,0.86,2.36,3.36,5.72,3,2018
KK 83,KK-3-18,6/7/18,18-Jun,no,yes,no,yes,medium-high,yes,15.2,11.2849162,4.834,64.818,76.754,1.184,40.028,7.761,17.029,65.389,11.365,278.835368,240,1202,896,2954,7.8,13.85,27,2.25,24.9,226,87,2.78,0.97,3.11,1.53,4.64,3,2018
KK 84,KK-3-18,6/7/18,18-Jun,no,yes,no,yes,medium-high,yes,15.2,10.88082902,4.193,48.542,57.629,1.187,29.155,5.974,13.413,51.21,6.419,209.2443786,270,1260,966,3449,8.1,15.46,25,2.57,21.03,214,85,2.8,1,8.13,2.13,10.26,3,2018
JA 109,JA-1-18,6/8/18,18-Jun,no,no,no,yes,medium-high,no,8.4,5.377358491,0.923,18.479,17.19,0.93,9.582,2.948,5.949,15.439,1.751,70.54134847,129,909,717,2440,8.2,11.05,19,3.48,13.82,96,100,2.14,0.45,7.03,1.64,8.67,1,2018
JA 110,JA-1-18,6/8/18,18-Jun,no,no,no,yes,medium-high,no,8.4,2.808988764,0.603,20.435,21.778,1.066,11.699,2.657,6.079,19.839,1.939,81.47529298,90,972,800,6488,8.5,21.19,21,3.46,18.8,95,74,2.77,0.48,6.26,0.79,7.05,1,2018
JA 111,JA-1-18,6/8/18,18-Jun,no,no,no,yes,medium-high,no,8.4,3.609756098,0.391,18.636,18.589,0.997,10.129,2.707,5.8,16.374,2.215,67.59535791,66,729,696,2421,8.1,10.68,16,2.55,8.41,90,87,2.33,0.37,4.05,1.47,5.52,1,2018
JA 112,JA-1-18,6/8/18,18-Jun,no,no,no,yes,medium-high,no,8.4,2.621359223,0.452,19.245,21.919,1.139,10.988,2.757,5.5,19.697,2.222,80.61106958,105,662,612,2097,8,9.44,17,2.21,16.22,79,84,3.5,0.42,2.74,1.2,3.94,1,2018
JA 113,JA-2-18,6/8/18,18-Jun,yes,yes,yes,no,none-low,no,10.4,7.979274611,0.844,11.827,14.1,1.192,6.238,1.769,3.82,11.702,2.398,50.92739696,34,666,752,2046,7.3,10.3,127,2.36,2.27,96,75,1.73,0.4,9.71,1.06,10.77,2,2018
JA 114,JA-2-18,6/8/18,18-Jun,yes,yes,yes,no,none-low,no,10.4,8.956796628,1.375,26.01,48.42,1.862,15.645,3.082,7.283,44.863,3.557,144.109552,44,721,774,2558,7.6,11.74,24,2.22,1.49,112,72,1.91,0.59,3.34,1.24,4.58,2,2018
JA 115,JA-2-18,6/8/18,18-Jun,yes,yes,yes,no,none-low,no,10.4,8.43495935,0.256,9.042,11.131,1.231,4.178,1.309,3.555,8.009,3.122,34.55874548,49,479,746,2086,7.5,10.53,17,2.02,1.3,107,72,1.86,0.41,2.08,2.77,4.85,2,2018
JA 116,JA-2-18,6/8/18,18-Jun,yes,yes,yes,no,none-low,no,10.4,5.323193916,0.555,17.196,20.186,1.174,9.553,2.321,5.322,17.471,2.715,71.84885742,64,762,768,2318,7.1,10.77,199,2.35,6.11,98,83,2.35,0.49,38.51,1.1,39.61,2,2018
JA 117,JA-3-18,6/8/18,18-Jun,yes,no,yes,no,none-low,no,9.9,5.738476011,0.14,8.601,7.842,0.912,4.557,1.19,2.854,7.147,0.695,31.13477949,52,504,284,3378,8.2,11.07,12,1.1,0.93,84,82,1.8,0.33,2.01,1.35,3.36,3,2018
JA 118,JA-3-18,6/8/18,18-Jun,yes,no,yes,no,none-low,no,9.9,2.741116751,0.108,6.398,5.423,0.848,3.286,0.84,2.272,4.943,0.48,23.38644931,51,478,268,3050,7.8,10.15,11,1.04,0.7,76,77,1.55,0.35,14.85,5.73,20.58,3,2018
JA 119,JA-3-18,6/8/18,18-Jun,yes,no,yes,no,none-low,no,9.9,18.54379977,0.689,7.441,6.95,0.934,3.904,0.991,2.546,6.364,0.586,27.79129474,38,469,265,2764,7.8,9.81,8,0.93,0.78,77,85,1.48,0.35,1.1,1.48,2.58,3,2018
JA 120,JA-3-18,6/8/18,18-Jun,yes,no,yes,no,none-low,no,9.9,5.416248746,0.155,7.405,7.533,1.017,3.915,0.971,2.519,6.919,0.614,26.47274729,56,570,306,3455,8,11.84,10,1.14,0.84,78,79,1.68,0.44,3.65,1.24,4.89,3,2018
KS 121,KS-1-18,6/11/18,18-Jun,yes,yes,yes,no,none-low,no,24.4,10.2189781,0.508,23.913,25.642,1.072,12.223,2.906,8.784,21.812,3.83,95.18949834,47,708,1790,3050,8.2,17.59,38,4.31,1.48,288,89,4.82,0.9,6.49,1.07,7.56,1,2018
KS 122,KS-1-18,6/11/18,18-Jun,yes,yes,yes,no,none-low,no,24.4,8.262711864,0.841,18.906,19.807,1.048,10.1,2.538,6.268,17.731,2.076,75.93550696,60,909,2038,3676,7.7,20.44,86,4.82,1.65,331,86,5.12,0.95,74.3,1.33,75.63,1,2018
KS 123,KS-1-18,6/11/18,18-Jun,yes,yes,yes,no,none-low,no,24.4,9.639830508,1.11,24.528,24.33,0.992,13.271,3.233,8.024,22.057,2.273,95.41969572,51,1050,1622,3964,7.5,19.61,100,4.34,1.54,324,89,4.88,1.05,82.8,2.42,85.22,1,2018
KS 124,KS-1-18,6/11/18,18-Jun,yes,yes,yes,no,none-low,no,24.4,5.306971904,0.701,20.55,19.391,0.944,10.81,2.87,6.87,17.081,2.31,76.22493037,62,1098,1540,3605,7.9,18.43,26,4.52,1.65,330,87,4.99,0.94,6.03,2.86,8.89,1,2018
KS 125,KS-2-18,6/11/18,18-Jun,yes,no,no,no,none-low,no,13,4.428424305,0.819,20.29,18.852,0.929,11.457,2.332,6.501,16.982,1.87,78.77919307,55,852,1009,2850,7.6,14.02,19,2.47,1.23,217,85,3.41,0.76,7.35,1.23,8.58,2,2018
KS 126,KS-2-18,6/11/18,18-Jun,yes,no,no,no,none-low,no,13,5.100956429,0.808,19.577,27.995,1.43,11.241,2.327,6.009,26.202,1.793,89.60261581,46,746,1040,2834,7.4,13.97,19,2.46,1.31,213,82,3.2,0.71,9.63,1.24,10.87,2,2018
KS 127,KS-2-18,6/11/18,18-Jun,yes,no,no,no,none-low,no,13,5.561172902,0.337,18.033,17.813,0.988,10.217,2.234,5.582,16.149,1.664,68.53445168,37,715,1018,2754,7.6,13.64,16,2.1,0.99,239,89,3.39,0.67,9.11,1.63,10.74,2,2018
KS 128,KS-2-18,6/11/18,18-Jun,yes,no,no,no,none-low,no,13,3.815261044,0.589,20.457,23.703,1.159,11.628,2.352,6.477,21.775,1.928,84.81760701,33,730,1082,2837,7.6,14.13,13,2.2,0.93,238,86,3.51,0.71,6.39,1.45,7.84,2,2018
KS 129,KS-3-18,6/11/18,18-Jun,minimal,no,no,no,medium-high,no,24.5,4.559915164,0.678,40.375,39.407,0.976,22.538,4.087,13.75,32.642,6.765,148.2940645,24,956,755,5721,7.8,20.67,25,2.3,1.3,316,80,4.37,1.38,8.29,4.86,13.15,3,2018
KS 130,KS-3-18,6/11/18,18-Jun,minimal,no,no,no,medium-high,no,24.5,4.187946885,0.925,29.746,28.664,0.964,16.834,3.188,9.724,22.005,6.659,105.6769878,22,898,775,4571,7.2,17.8,23,1.86,1.2,303,90,4.05,1.25,10.54,3.69,14.23,3,2018
KS 131,KS-3-18,6/11/18,18-Jun,minimal,no,no,no,medium-high,no,24.5,5.393743258,0.752,28.538,20.622,0.723,15.359,3.174,10.005,16.235,4.387,91.18995763,18,846,774,5003,7.3,19.21,25,1.9,1.16,328,92,4.18,1.27,11.17,5.5,16.67,3,2018
KS 132,KS-3-18,6/11/18,18-Jun,minimal,no,no,no,medium-high,no,24.5,3.54295837,0.788,41.94,32.718,0.78,23.173,4.487,14.28,24.667,8.051,137.299105,31,981,734,4746,7.5,18.18,30,2.01,1.23,333,97,4.24,1.27,8.15,3.9,12.05,3,2018
BE 13,BE-1-18,6/12/18,18-Jun,no,yes,yes,yes,medium-high,no,33.1,13.34841629,0.861,29.064,21.59,0.743,16.551,3.916,8.597,19.926,1.664,101.8078072,142,1760,1375,4605,6.7,22.29,26,2.03,3.89,351,143,6.24,1.5,12.73,1.45,14.18,1,2018
BE 14,BE-1-18,6/12/18,18-Jun,no,yes,yes,yes,medium-high,no,33.1,6.952965235,1.246,34.363,26.017,0.757,19.098,3.656,11.609,23.541,2.476,114.5786679,165,1573,1461,5130,7.3,23.32,22,2.74,5.44,449,92,6.22,1.64,10.55,1.05,11.6,1,2018
BE 15,BE-1-18,6/12/18,18-Jun,no,yes,yes,yes,medium-high,no,33.1,13.39977852,0.843,29.355,23.746,0.809,16.11,3.041,10.204,21.228,2.518,100.0978464,142,1241,1504,5115,7.4,23.04,17,2.33,5.93,454,104,6.04,1.67,11,3.73,14.73,1,2018
BE 16,BE-1-18,6/12/18,18-Jun,no,yes,yes,yes,medium-high,no,33.1,17.92349727,0.898,25.91,21.279,0.821,14.211,2.977,8.722,18.476,2.803,88.66731274,109,1261,1420,4920,7.4,22.23,19,2.45,4.58,473,80,6.3,1.65,7.7,1.13,8.83,1,2018
BE 17,BE-2-18,6/12/18,18-Jun,no,no,no,yes,medium-high,no,28.5,17.58691207,1.517,68.164,72.395,1.062,39.627,7.429,21.108,63.868,8.527,271.3267926,149,1743,1411,5054,7.5,22.74,23,3.3,6.76,476,80,5.84,1.84,18.6,2.82,21.42,2,2018
