sample,field,date,sampling.period,mbc,tillage,irrigation,fertilizer,crop_rotation,residue,cover_crop,clay,gwc,P,K,Mg,Ca,pH,CEC,S,B,Zn,Mn,Fe,Cu,OM,no3.ppm,nh4.ppm,total.N,original.field,year
TG 25,TG-1-18,8/1/18,18-Aug,204.5947126,no,yes,yes,yes,medium-high,no,26.9,29.54,122,1487,2031,4832,8.7,24.04,33,7.27,4.33,345,87,4.59,1.32,2.1,2.83,4.93,1,2018
TG 26,TG-1-18,8/1/18,18-Aug,168.6692568,no,yes,yes,yes,medium-high,no,26.9,22.25,132,1353,1932,4446,8.5,22.49,30,6.7,5.39,371,80,4.5,1.23,5.1,2.59,7.69,1,2018
TG 27,TG-1-18,8/1/18,18-Aug,386.3846,no,yes,yes,yes,medium-high,no,26.9,22.79,100,1423,2059,4478,8.5,23.19,28,6.23,4.46,345,82,4.52,1.34,4.5,2.45,6.95,1,2018
TG 28,TG-1-18,8/1/18,18-Aug,421.1158,no,yes,yes,yes,medium-high,no,26.9,24.04,81,1578,1879,4726,8.5,23.66,48,6.36,4.12,332,80,4.52,1.52,10.1,2.64,12.74,1,2018
TG 29,TG-2-18,8/1/18,18-Aug,266.9711494,yes,yes,yes,yes,none-low,no,27.2,12.99,61,1501,1990,4783,8.1,24.17,66,7.41,4.91,358,79,4.74,1.64,67.8,2.88,70.68,2,2018
TG 30,TG-2-18,8/1/18,18-Aug,249.3371622,yes,yes,yes,yes,none-low,no,27.2,12.11,118,1535,1973,4456,8.3,23.32,47,7.44,5.58,366,85,4.47,1.44,30.8,2.59,33.39,2,2018
TG 31,TG-2-18,8/1/18,18-Aug,106.3643,yes,yes,yes,yes,none-low,no,27.2,15.77,173,1549,2076,4449,8.2,23.75,51,6.89,7.75,400,84,4.95,1.55,11.7,3.39,15.09,2,2018
TG 32,TG-2-18,8/1/18,18-Aug,143.2662,yes,yes,yes,yes,none-low,no,27.2,10.89,137,1373,1824,4256,8.3,22.4,38,6.63,6.24,370,83,4.17,1.38,8.9,3.74,12.64,2,2018
TG 33,TG-3-18,8/1/18,18-Aug,294.4167816,no,yes,yes,yes,medium-high,yes,30.7,17.35,78,1903,2161,4874,8.3,25.22,35,7.9,6.77,318,76,4.64,1.68,19,2.98,21.98,3,2018
TG 34,TG-3-18,8/1/18,18-Aug,100.2237613,no,yes,yes,yes,medium-high,yes,30.7,18,71,1751,2257,4940,8.4,25.99,30,9.14,6.07,345,75,4.64,1.58,7.7,2.42,10.12,3,2018
TG 35,TG-3-18,8/1/18,18-Aug,284.3617,no,yes,yes,yes,medium-high,yes,30.7,17.63,76,1767,2389,4997,8.1,26.71,38,7.78,5.29,356,79,5.22,1.69,31,3.03,34.03,3,2018
TG 36,TG-3-18,8/1/18,18-Aug,586.089,no,yes,yes,yes,medium-high,yes,30.7,18.5,58,1959,2211,4948,8.2,27.69,31,7.97,4.96,332,70,5.09,1.72,15.3,2.71,18.01,3,2018
BH 37,BH-1-18,8/8/18,18-Aug,510.1145,yes,yes,yes,yes,medium-high,no,23.3,3.842364532,135,1642,1701,6524,7.8,27.5,41,5.45,6.77,246,94,4.61,1.26,59.98,2.99,62.97,1,2018
BH 38,BH-1-18,8/8/18,18-Aug,460.1884,yes,yes,yes,yes,medium-high,no,23.3,3.80859375,164,1657,1607,7027,7.7,27.98,37,5.13,7.6,235,88,4.64,1.27,52.07,2.59,54.66,1,2018
BH 39,BH-1-18,8/8/18,18-Aug,269.1668,yes,yes,yes,yes,medium-high,no,23.3,4.519230769,178,1716,1753,6366,7.8,27.41,42,5.89,8.94,229,99,4.99,1.37,47.32,2.82,50.14,1,2018
BH 40,BH-1-18,8/8/18,18-Aug,26.0484,yes,yes,yes,yes,medium-high,no,23.3,3.992210321,154,1650,1708,5095,7.7,24.36,73,6.1,10.18,226,97,4.79,1.51,41.41,2.43,43.84,1,2018
BH 41,BH-2-18,8/8/18,18-Aug,384.2139,minimal,yes,yes,no,none-low,no,12,9.518935517,303,1316,756,3421,7.1,14.98,118,3.02,10.47,186,118,3.03,0.9,66.53,2.94,69.47,2,2018
BH 42,BH-2-18,8/8/18,18-Aug,214.8993,minimal,yes,yes,no,none-low,no,12,7.433808554,341,1441,657,3225,7.2,13.84,116,2.61,12.46,168,134,2.62,0.89,93.47,2.75,96.22,2,2018
BH 43,BH-2-18,8/8/18,18-Aug,772.7692,minimal,yes,yes,no,none-low,no,12,6.913827655,352,1755,703,3295,7.1,15.01,159,2.96,12.48,167,130,2.74,0.84,74.85,4.05,78.9,2,2018
BH 44,BH-2-18,8/8/18,18-Aug,592.6011,minimal,yes,yes,no,none-low,no,12,8.274470232,231,1097,678,2995,7.6,12.91,67,2.59,10.2,184,112,2.92,0.76,32.25,2.86,35.11,2,2018
BH 45,BH-3-18,8/8/18,18-Aug,108.535,minimal,yes,yes,no,none-low,yes,14.4,2.420135528,171,726,1585,2444,8.4,14.44,62,6.26,7.21,219,84,3.3,0.66,4.47,2.13,6.6,3,2018
BH 46,BH-3-18,8/8/18,18-Aug,149.7783,minimal,yes,yes,no,none-low,yes,14.4,1.305970149,181,667,1479,2312,8.3,13.59,65,5.82,8.81,193,79,3.12,0.6,4.11,2.09,6.2,3,2018
BH 47,BH-3-18,8/8/18,18-Aug,447.1642,minimal,yes,yes,no,none-low,yes,14.4,1.816443595,257,824,1726,2894,8.2,16.68,71,7.29,14.17,194,89,3.23,0.72,4.62,4.76,9.38,3,2018
BH 48,BH-3-18,8/8/18,18-Aug,451.5056,minimal,yes,yes,no,none-low,yes,14.4,2.884615385,226,879,1658,2776,8.3,15.77,78,7.73,12.46,200,83,3.19,0.8,5.99,2.43,8.42,3,2018
JB 1,JB-1-18,9/28/18,18-Oct,260.484,no,yes,yes,yes,medium-high,no,11,9.667024705,83,629,1347,1908,8,12.38,41,3.07,1.26,107,61,0.4,0.42,9.01,2.31,11.32,1,2018
JB 2,JB-1-18,9/28/18,18-Oct,102.0229,no,yes,yes,yes,medium-high,no,11,9.528907923,50,564,1466,1727,8.2,12.34,11,3.23,2.18,95,56,0.2,0.57,3.84,1.79,5.63,1,2018
JB 3,JB-1-18,9/28/18,18-Oct,358.1655,no,yes,yes,yes,medium-high,no,11,10.29900332,17,542,1431,1749,8.2,12.22,18,3,0.68,116,55,0.41,0.44,5.33,2.2,7.53,1,2018
JB 4,JB-1-18,9/28/18,18-Oct,314.7515,no,yes,yes,yes,medium-high,no,11,9.638554217,32,664,1515,1875,8,13.45,36,3.7,3.58,124,57,0.63,0.49,3.44,1.61,5.05,1,2018
JB 5,JB-2-18,9/28/18,18-Oct,371.1897,no,no,no,no,none-low,yes,9,8.253968254,83,481,389,2406,7,9.85,8,0.92,1.2,116,75,0.43,0.4,2.75,2.1,4.85,2,2018
JB 6,JB-2-18,9/28/18,18-Oct,301.7273,no,no,no,no,none-low,yes,9,10.44467425,8,480,407,2541,7.4,10.26,4,0.87,1.2,122,64,0.49,0.35,1.36,1.77,3.13,2,2018
JB 7,JB-2-18,9/28/18,18-Oct,479.7247,no,no,no,no,none-low,yes,9,7.376185458,18,522,375,2165,6.9,9.24,4,0.8,1.2,119,65,0.29,0.31,1.56,2.27,3.83,2,2018
JB 8,JB-2-18,9/28/18,18-Oct,204.0458,no,no,no,no,none-low,yes,9,8.547888774,12,474,369,2163,7.2,9.15,3,0.83,1.2,118,77,0.33,0.33,2.07,1.67,3.74,2,2018
JB 9,JB-3-18,9/28/18,18-Oct,412.433,minimal,yes,yes,yes,medium-high,no,10.6,9.151785714,73,683,1741,1900,7.8,14.47,42,3.28,1.28,129,55,0.82,0.71,4.79,1.54,6.33,3,2018
JB 10,JB-3-18,9/28/18,18-Oct,499.261,minimal,yes,yes,yes,medium-high,no,10.6,11.38560687,69,957,1688,2291,8.3,15.18,37,4.65,1.25,133,56,1.07,0.7,6.75,0.94,7.69,3,2018
JB 11,JB-3-18,9/28/18,18-Oct,473.2126,minimal,yes,yes,yes,medium-high,no,10.6,10.22128556,98,765,1503,1678,7.8,13.03,18,3.33,1.52,125,58,0.74,0.61,4.97,1.87,6.84,3,2018
JB 12,JB-3-18,9/28/18,18-Oct,395.0674,minimal,yes,yes,yes,medium-high,no,10.6,10.93073593,101,707,1482,1745,7.5,13.44,24,2.49,1.2,139,56,0.82,0.66,4.38,1.48,5.86,3,2018
MH 61,MH-1-18,9/28/18,18-Oct,329.9464,minimal,no,yes,no,none-low,yes,21.2,11.69265033,105,854,710,3236,7.4,13.74,6,1.34,1.2,208,83,1.63,0.66,5.03,1.44,6.47,1,2018
MH 62,MH-1-18,9/28/18,18-Oct,273.5082,minimal,no,yes,no,none-low,yes,21.2,12.51336898,120,941,736,3519,7.5,15.07,5,1.35,1.2,226,86,1.91,0.77,3.07,0.88,3.95,1,2018
MH 63,MH-1-18,9/28/18,18-Oct,232.2649,minimal,no,yes,no,none-low,yes,21.2,11.71875,95,800,698,3049,7.4,13.55,9,1.24,1.2,202,80,1.46,0.77,3.5,1.1,4.6,1,2018
MH 64,MH-1-18,9/28/18,18-Oct,666.4049,minimal,no,yes,no,none-low,yes,21.2,9.395973154,109,911,725,3466,7.3,14.85,9,1.35,1.2,219,79,1.75,0.38,11.03,1.79,12.82,1,2018
MH 65,MH-2-18,9/28/18,18-Oct,386.3846,minimal,no,yes,no,none-low,yes,13,14.58563536,92,969,545,2745,7.5,11.97,13,1.27,10.52,136,86,0.77,0.48,11.2,1.34,12.54,2,2018
MH 66,MH-2-18,9/28/18,18-Oct,167.1439,minimal,no,yes,no,none-low,yes,13,13.18327974,93,1156,663,3100,7.2,13.99,18,1.46,1.62,166,97,1.2,0.56,9.61,1.65,11.26,2,2018
MH 67,MH-2-18,9/28/18,18-Oct,696.7947,minimal,no,yes,no,none-low,yes,13,13.0952381,114,1208,634,3025,7.5,13.35,15,1.52,1.06,160,98,1.13,0.62,8.11,1.24,9.35,2,2018
MH 68,MH-2-18,9/28/18,18-Oct,243.1184,minimal,no,yes,no,none-low,yes,13,12.04954955,122,1573,624,2946,7.2,13.98,22,1.52,1.51,157,99,1.41,0.68,21.58,1.64,23.22,2,2018
MH 69,MH-3-18,9/28/18,18-Oct,78.1452,minimal,no,yes,no,none-low,yes,10.8,12.41685144,28,856,331,2039,6.8,9.17,13,0.82,1.2,153,93,0.74,0.39,4.08,1.37,5.45,3,2018
MH 70,MH-3-18,9/28/18,18-Oct,371.1897,minimal,no,yes,no,none-low,yes,10.8,11.65254237,10,835,392,2588,6.7,11.17,11,0.75,1.2,167,92,0.97,0.46,3.93,1.06,4.99,3,2018
MH 71,MH-3-18,9/28/18,18-Oct,698.9654,minimal,no,yes,no,none-low,yes,10.8,9.357997824,23,845,325,1916,6.4,9.22,15,0.65,1.2,148,94,0.64,0.37,7.38,1.25,8.63,3,2018
MH 72,MH-3-18,9/28/18,18-Oct,286.5324,minimal,no,yes,no,none-low,yes,10.8,9.203722854,25,842,345,1910,6.2,9.29,25,0.8,1.2,129,89,0.51,0.36,28.76,1.64,30.4,3,2018
KK 83,KK-3-18,10/11/18,18-Oct,204.0458,no,yes,no,yes,medium-high,yes,15.2,11.45038168,135,1234,855,2726,8,13.15,19,2.33,14.48,222,70,1.29,0.8,7.2,2.03,9.23,3,2018
KK 84,KK-3-18,10/11/18,18-Oct,347.312,no,yes,no,yes,medium-high,yes,15.2,12.09406495,188,1186,1013,3238,8,15.43,17,2.31,16.45,239,74,1.47,0.88,6.2,2.68,8.88,3,2018
KK 73,KK-1-18,10/11/18,18-Oct,110.7057,no,yes,no,yes,medium-high,yes,14.4,13.17829457,121,783,1019,2433,7.5,12.93,17,2.34,19.3,132,68,0.92,1.03,6.72,3.57,10.29,1,2018
KK 74,KK-1-18,10/11/18,18-Oct,264.8254,no,yes,no,yes,medium-high,yes,14.4,14.51428571,104,706,1069,2499,7.4,13.6,21,2.48,22.16,136,81,0.92,0.94,6.92,2.28,9.2,1,2018
KK 75,KK-1-18,10/11/18,18-Oct,208.3872,no,yes,no,yes,medium-high,yes,14.4,13.54051054,50,990,989,2291,7.7,12.71,18,2.36,20.31,112,69,0.98,1,5.94,2.09,8.03,1,2018
KK 76,KK-1-18,10/11/18,18-Oct,97.6815,no,yes,no,yes,medium-high,yes,14.4,12.27321238,87,835,925,2159,7.1,12.32,18,2.1,23.11,134,76,0.83,0.87,4.77,2.16,6.93,1,2018
KK 77,KK-2-18,10/11/18,18-Oct,52.0968,no,yes,yes,no,none-low,no,12.8,9.808102345,180,788,706,2075,6.8,11.13,14,1.34,23.7,157,117,1.23,0.72,4.23,1.59,5.82,2,2018
KK 78,KK-2-18,10/11/18,18-Oct,230.0942,no,yes,yes,no,none-low,no,12.8,10.81967213,185,1082,893,2800,7.3,14.5,19,2.62,25.06,181,81,1.63,1.01,6.38,1.2,7.58,2,2018
KK 79,KK-2-18,10/11/18,18-Oct,186.6802,no,yes,yes,no,none-low,no,12.8,11.40642303,114,967,887,2330,7.2,12.36,18,1.87,14.07,162,68,1.38,0.77,5.35,1.59,6.94,2,2018
KK 80,KK-2-18,10/11/18,18-Oct,112.8764,no,yes,yes,no,none-low,no,12.8,10.77085533,211,1273,747,2229,7.1,11.91,18,1.8,22.88,153,79,1.55,0.91,8.16,1.76,9.92,2,2018
KK 81,KK-3-18,10/11/18,18-Oct,58.6089,no,yes,no,yes,medium-high,yes,15.2,10.1659751,202,1015,1021,3433,8,16.13,22,2.62,19.45,230,77,1.47,1.08,3.69,0.74,4.43,3,2018
KK 82,KK-3-18,10/11/18,18-Oct,108.535,no,yes,no,yes,medium-high,yes,15.2,13.10043668,180,1271,994,3144,7.9,15.63,15,2.44,17.14,233,79,1.55,1.12,5.94,2.2,8.14,3,2018
BH 37,BH-1-18,10/1/18,18-Oct,316.9222,yes,yes,yes,yes,medium-high,no,23.3,13.72093023,105.5,1062.5,746,2719,8,23.73,16,2.8,8.52,114,37,2.15,1.46,32.17,3.28,35.45,1,2018
BH 38,BH-1-18,10/1/18,18-Oct,128.0713,yes,yes,yes,yes,medium-high,no,23.3,10.63596491,102,1028,804,3621,8.1,29.04,20,2.82,5.87,126,35,2.19,1.52,29.69,2.74,32.43,1,2018
BH 39,BH-1-18,10/1/18,18-Oct,342.9706,yes,yes,yes,yes,medium-high,no,23.3,12.1436114,97.5,908.5,714.5,2335,7.8,21.55,10.5,2.49,5.66,121,39.5,2.07,1.37,4.71,2.93,7.64,1,2018
BH 40,BH-1-18,10/1/18,18-Oct,154.1197,yes,yes,yes,yes,medium-high,no,23.3,13.30472103,112.5,1080.5,817.5,2765,8,25,14,2.98,7.38,122,39,2.3,1.57,15.13,2.46,17.59,1,2018
BH 41,BH-2-18,10/1/18,18-Oct,123.7299,minimal,yes,yes,no,none-low,no,12,9.766454352,164,667.5,293.5,1374,7.4,12.22,14.5,1.09,6.12,83.5,50.5,1.3,0.9,6.58,2.92,9.5,2,2018
BH 42,BH-2-18,10/1/18,18-Oct,177.9974,minimal,yes,yes,no,none-low,no,12,13.01518438,154.5,651.5,309,1407.5,7.5,12.48,8.5,1.13,5.63,88.5,50,1.41,0.78,4.11,2.79,6.9,2,2018
BH 43,BH-2-18,10/1/18,18-Oct,130.242,minimal,yes,yes,no,none-low,no,12,8.823529412,155.5,621.5,301.5,1521,7.7,12.51,8.5,1.24,6.67,101.5,51.5,1.39,1.07,4.09,3.44,7.53,2,2018
BH 44,BH-2-18,10/1/18,18-Oct,184.5095,minimal,yes,yes,no,none-low,no,12,7.783783784,187.5,742,348.5,1715.5,7.3,14.18,21,1.47,7.87,111,48,1.54,1.03,20.71,3.36,24.07,2,2018
BH 45,BH-3-18,10/1/18,18-Oct,217.07,minimal,yes,yes,no,none-low,yes,14.4,9.528907923,93.5,602,615.5,1216,8.3,13.55,13.5,2.7,4.2,103,29.5,1.44,0.73,3.43,2.72,6.15,3,2018
BH 46,BH-3-18,10/1/18,18-Oct,264.8254,minimal,yes,yes,no,none-low,yes,14.4,9.02173913,79.5,497,617,1167,8,13.05,9.5,2.42,4.68,98.5,28,1.33,0.74,3.88,2.45,6.33,3,2018
BH 47,BH-3-18,10/1/18,18-Oct,80.3159,minimal,yes,yes,no,none-low,yes,14.4,9.660842754,76.5,512,534,1062.5,8.2,11.87,9,2.27,3.12,102,30,1.29,0.73,4.28,2.69,6.97,3,2018
BH 48,BH-3-18,10/1/18,18-Oct,214.8993,minimal,yes,yes,no,none-low,yes,14.4,9.450549451,130.5,636.5,645.5,1377,8.1,14.29,12,2.69,7.39,102,34.5,1.4,0.95,6.34,3.01,9.35,3,2018
CK 85,CK-1-18,10/1/18,18-Oct,26.0484,no,yes,no,yes,medium-high,no,36.8,26.96493349,123,761,986.5,2572.5,7.7,25.83,29.5,1.86,7.43,168,37,2.67,2.02,22.41,4.08,26.49,1,2018
CK 86,CK-1-18,10/1/18,18-Oct,36.9019,no,yes,no,yes,medium-high,no,36.8,24.00960384,74.5,692.5,993,2683.5,7.6,25.06,21.5,2.03,6.4,163.5,33,2.8,2.02,19.34,2.81,22.15,1,2018
CK 87,CK-1-18,10/1/18,18-Oct,49.9261,no,yes,no,yes,medium-high,no,36.8,25.55685815,79.5,743.5,966,2669,7.9,24.9,12,1.97,6.46,169,33.5,2.76,2.16,8.17,2.55,10.72,1,2018
CK 88,CK-1-18,10/1/18,18-Oct,167.1439,no,yes,no,yes,medium-high,no,36.8,26.09756098,112.5,768,1129,2899.5,7.6,27.47,25,1.97,7.42,183.5,36,2.83,2.27,29.86,2.91,32.77,1,2018
CK 89,CK-2-18,10/1/18,18-Oct,162.8025,no,yes,no,yes,medium-high,no,38,31.35271808,102.5,907,953.5,3042,7.9,29.48,11,2.09,7.44,240,42,3.58,2.35,8.23,3.18,11.41,2,2018
CK 90,CK-2-18,10/1/18,18-Oct,547.0164,no,yes,no,yes,medium-high,no,38,29.56521739,109.5,890.5,937,3034,7.7,26.86,18,2.2,8.27,211,39.5,3.32,2.48,21.09,4.03,25.12,2,2018
CK 91,CK-2-18,10/1/18,18-Oct,481.8954,no,yes,no,yes,medium-high,no,38,28.95752896,133.5,882,947.5,3140.5,7.9,27.45,11.5,2.16,10.06,229.5,41,3.69,2.28,8.91,4.48,13.39,2,2018
CK 92,CK-2-18,10/1/18,18-Oct,164.9732,no,yes,no,yes,medium-high,no,38,27.01421801,90.5,818.5,893.5,2931,7.5,26.19,15.5,1.96,8.1,238.5,37.5,3.3,2.14,12.43,3.91,16.34,2,2018
CK 93,CK-3-18,10/1/18,18-Oct,340.7999,no,yes,no,yes,medium-high,no,33.6,25.20612485,53.5,784.5,752.5,2324.5,6.8,21.9,30,0.91,3.28,190,37.5,2.16,1.66,24.15,3.76,27.91,3,2018
CK 94,CK-3-18,10/1/18,18-Oct,39.0726,no,yes,no,yes,medium-high,no,33.6,24.60606061,13.5,760.5,877.5,2426.5,7,23.79,13.5,1.07,2.75,209,42,2.5,1.53,7.39,3.42,10.81,3,2018
CK 95,CK-3-18,10/1/18,18-Oct,145.4369,no,yes,no,yes,medium-high,no,33.6,26.89486553,67,699,843,2607.5,7.1,24.25,14.5,1.15,4.3,206,37,2.33,1.79,11.91,3.76,15.67,3,2018
CK 96,CK-3-18,10/1/18,18-Oct,75.9745,no,yes,no,yes,medium-high,no,33.6,27.76442308,24,658,856.5,2459.5,7.6,22.72,11,1.17,3.3,208.5,37,2.38,1.71,7.66,3.44,11.1,3,2018
TG 25,TG-1-18,9/21/18,18-Oct,266.9711494,no,yes,yes,yes,medium-high,no,26.9,4.219409283,97,887,1992,3903,8.6,20.79,19,4.36,4.13,316,77,3.72,1.15,3.69,2.41,6.1,1,2018
TG 26,TG-1-18,9/21/18,18-Oct,376.4502252,no,yes,yes,yes,medium-high,no,26.9,5.989304813,164,1102,1988,4108,8.3,21.56,23,6.62,4.93,339,72,3.72,1.2,2.35,1.75,4.1,1,2018
TG 27,TG-1-18,9/21/18,18-Oct,158.4611,no,yes,yes,yes,medium-high,no,26.9,7.08915145,104,960,2019,3907,8.3,21.41,23,4.81,4.27,316,73,3.58,1.29,2.38,2.1,4.48,1,2018
TG 28,TG-1-18,9/21/18,18-Oct,97.6815,no,yes,yes,yes,medium-high,no,26.9,6.951871658,141,1037,2114,4252,8.3,22.76,23,5.46,6.2,299,63,3.47,1.52,4.81,2.27,7.08,1,2018
TG 29,TG-2-18,9/21/18,18-Oct,117.2677011,yes,yes,yes,yes,none-low,no,27.2,9.290187891,57,1462,1900,4489,8.6,22.61,31,6.69,4.37,340,68,3.98,1.53,11.26,1.81,13.07,2,2018
TG 30,TG-2-18,9/21/18,18-Oct,239.5592342,yes,yes,yes,yes,none-low,no,27.2,7.96555436,114,1463,2021,4443,8.5,23,24,7.34,5.14,370,84,4.14,1.38,8.41,1.47,9.88,2,2018
TG 31,TG-2-18,9/21/18,18-Oct,104.1936,yes,yes,yes,yes,none-low,no,27.2,9.586056645,160,1319,2027,4234,8.3,22.72,27,5.75,6.33,405,82,4.5,1.47,8.18,2.25,10.43,2,2018
TG 32,TG-2-18,9/21/18,18-Oct,71.6331,yes,yes,yes,yes,none-low,no,27.2,7.112068966,126,1279,1747,4028,8.3,20.98,23,5.59,5.84,359,75,3.59,1.42,4.58,1.99,6.57,2,2018
TG 33,TG-3-18,9/21/18,18-Oct,227.0502299,no,yes,yes,yes,medium-high,yes,30.7,10.10752688,68,1713,2113,4718,8.6,24.39,29,7.81,5.96,316,71,4,1.45,9.85,2.1,11.95,3,2018
TG 34,TG-3-18,9/21/18,18-Oct,449.7846847,no,yes,yes,yes,medium-high,yes,30.7,8.062827225,67,1791,2123,4928,8.6,25.46,55,8.86,4.3,343,75,4.2,1.51,10.75,1.72,12.47,3,2018
TG 35,TG-3-18,9/21/18,18-Oct,193.1923,no,yes,yes,yes,medium-high,yes,30.7,10.61269147,68,1719,2136,4899,8.7,25.35,35,7.82,3.77,342,78,4.21,1.31,7.62,1.63,9.25,3,2018
TG 36,TG-3-18,9/21/18,18-Oct,169.3146,no,yes,yes,yes,medium-high,yes,30.7,10.98654709,58,1629,2167,4841,8.5,25.22,32,8.04,4.57,313,71,4.37,1.45,7.56,1.73,9.29,3,2018
RN 49,RN-1-18,9/21/18,18-Oct,97.30724138,no,yes,yes,yes,medium-high,yes,24.8,8.798283262,65,1345,1713,4276,8.5,20.75,23,6.34,6.6,340,70,3.98,1.27,8.25,2.07,10.32,1,2018
RN 50,RN-1-18,9/21/18,18-Oct,501.1188063,no,yes,yes,yes,medium-high,yes,24.8,9.040178571,38,1280,1711,4160,8.3,20.77,19,5.21,6.39,376,66,3.89,1.27,3.73,1.86,5.59,1,2018
RN 51,RN-1-18,9/21/18,18-Oct,201.8751,no,yes,yes,yes,medium-high,yes,24.8,10.1210121,61,1562,1602,4120,8.4,20.57,17,5.14,7.4,383,68,3.93,1.34,5.88,1.5,7.38,1,2018
RN 52,RN-1-18,9/21/18,18-Oct,282.191,no,yes,yes,yes,medium-high,yes,24.8,12.4300112,45,1297,1724,4113,8.2,21.12,18,4.87,13.73,365,65,3.8,1.53,6.98,1.81,8.79,1,2018
RN 53,RN-2-18,9/21/18,18-Oct,164.6737931,minimal,yes,yes,no,none-low,yes,27.2,7.531380753,172,1179,2026,5119,8.3,24.35,79,7.33,2.51,364,84,5.23,1.1,4.98,1.81,6.79,2,2018
RN 54,RN-2-18,9/21/18,18-Oct,34.22274775,minimal,yes,yes,no,none-low,yes,27.2,8.378088077,144,1069,1913,4648,8.1,23.36,17,6.15,2.42,319,89,4.76,1.14,3.19,1.81,5,2,2018
RN 55,RN-2-18,9/21/18,18-Oct,164.9732,minimal,yes,yes,no,none-low,yes,27.2,7.456140351,161,1109,1915,4570,8.1,22.82,119,5.96,1.76,335,84,4.35,1.09,8.9,2.18,11.08,2,2018
RN 56,RN-2-18,9/21/18,18-Oct,99.8522,minimal,yes,yes,no,none-low,yes,27.2,7.815845824,199,1190,1825,4656,8,23.56,14,5.38,2.4,340,88,4.62,1.15,5.11,2.12,7.23,2,2018
RN 57,RN-3-18,9/21/18,18-Oct,556.3978161,no,yes,yes,yes,medium-high,yes,30.8,13.88261851,105,1777,2246,5226,8.4,26.3,31,6.16,10.22,321,72,4.15,1.91,5.3,1.76,7.06,3,2018
RN 58,RN-3-18,9/21/18,18-Oct,300.6712838,no,yes,yes,yes,medium-high,yes,30.8,15.75492341,25,1595,2135,4380,7.8,24.69,24,4.55,5.18,299,69,3.86,1.68,9.6,2.47,12.07,3,2018
RN 59,RN-3-18,9/21/18,18-Oct,219.2407,no,yes,yes,yes,medium-high,yes,30.8,17.08185053,95,1501,2169,4983,8.3,25.81,29,5.86,9.99,311,67,4.1,1.81,10.94,1.36,12.3,3,2018
RN 60,RN-3-18,9/21/18,18-Oct,104.1936,no,yes,yes,yes,medium-high,yes,30.8,18.52300242,35,1481,2070,4847,7.7,24.64,24,5.56,5.72,304,67,4.12,1.66,5.52,1.5,7.02,3,2018
BE 13,BE-1-18,9/26/18,18-Oct,169.3146,no,yes,yes,yes,medium-high,no,33.1,12.78026906,163,1550,1340,4509,7.1,21.24,19,2.23,4.66,429,102,4.89,1.65,6.68,2.32,9,1,2018
BE 14,BE-1-18,9/26/18,18-Oct,125.9006,no,yes,yes,yes,medium-high,no,33.1,7.165437302,205,1614,1396,4855,6.7,22.82,34,2.44,4.99,386,106,5,1.63,45.1,2.14,47.24,1,2018
BE 15,BE-1-18,9/26/18,18-Oct,21.707,no,yes,yes,yes,medium-high,no,33.1,-0.777378292,216,1702,1479,5039,7.1,23.74,27,2.47,6.59,409,117,4.87,1.77,14.09,2.1,16.19,1,2018
BE 16,BE-1-18,9/26/18,18-Oct,23.8777,no,yes,yes,yes,medium-high,no,33.1,10.31578947,128,1686,1539,5488,7.4,24.29,21,2.61,4.55,448,93,5.89,1.7,6.99,1.92,8.91,1,2018
BE 17,BE-2-18,9/26/18,18-Oct,180.1681,no,no,no,yes,medium-high,no,28.5,16.42294713,89,1365,1608,4955,8,22.43,20,3.4,7.93,469,73,5.73,1.57,7.1,1.52,8.62,2,2018
BE 18,BE-2-18,9/26/18,18-Oct,201.8751,no,no,no,yes,medium-high,no,28.5,14.63146315,97,1207,1588,4428,7.2,21.23,19,3.14,6.13,399,67,4.46,1.86,7.79,2.17,9.96,2,2018
BE 19,BE-2-18,9/26/18,18-Oct,106.3643,no,no,no,yes,medium-high,no,28.5,12.36673774,136,1436,1652,4745,8,22.58,18,2.82,6.51,424,78,5.26,1.66,5.13,1.57,6.7,2,2018
BE 20,BE-2-18,9/26/18,18-Oct,253.9719,no,no,no,yes,medium-high,no,28.5,13.03867403,149,1455,1540,4668,7.6,21.95,23,2.96,8,433,83,5.86,1.78,4.21,1.74,5.95,2,2018
EE 21,EE-1-18,9/26/18,18-Oct,290.8738,no,yes,no,yes,medium-high,no,31.1,10.22964509,142,1259,1668,4903,8.2,22.42,21,3.58,4.83,356,65,4.4,1.48,2.97,1.74,4.71,1,2018
EE 22,EE-1-18,9/26/18,18-Oct,149.7783,no,yes,no,yes,medium-high,no,31.1,13.35578002,139,1369,1392,4700,7.4,21.7,19,2.74,4.24,374,65,4.05,1.55,3.07,1.72,4.79,1,2018
EE 23,EE-1-18,9/26/18,18-Oct,199.7044,no,yes,no,yes,medium-high,no,31.1,14.57399103,103,1220,1609,5080,8.5,22.96,23,3.97,4.6,346,56,4.35,1.46,4.38,1.62,6,1,2018
EE 24,EE-1-18,9/26/18,18-Oct,121.5592,no,yes,no,yes,medium-high,no,31.1,10.10526316,110,1242,1447,9006,8.6,31.73,25,5.27,5.75,318,45,4.52,1.45,3.49,1.58,5.07,1,2018
JA 109,JA-1-18,9/24/18,18-Oct,325.605,no,no,no,yes,medium-high,no,8.4,8.67768595,153,1345,818,2841,8.6,12.63,24,3.96,16.11,103,86,2.33,0.6,4.81,1.38,6.19,1,2018
